site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment7,individual,velocity,10,wall.near
nanjingdonglu,segment7,individual,velocity,11,door.far
nanjingdonglu,segment7,individual,velocity,12,floor.middle
nanjingdonglu,segment7,individual,deviation,1,wall.far
nanjingdonglu,segment7,individual,deviation,2,ceiling.far
nanjingdonglu,segment7,individual,deviation,3,windowpane.middle
nanjingdonglu,segment7,individual,deviation,4,person.middle
nanjingdonglu,segment7,individual,deviation,5,ceiling.middle
nanjingdonglu,segment7,individual,deviation,6,floor.far
nanjingdonglu,segment7,individual,deviation,7,wall.near
nanjingdonglu,segment7,individual,deviation,8,door.far
nanjingdonglu,segment7,individual,deviation,9,monitor.middle
nanjingdonglu,segment7,individual,deviation,10,signboard.near
nanjingdonglu,segment7,individual,deviation,11,floor.near
nanjingdonglu,segment7,individual,deviation,12,signboard.far
nanjingdonglu,segment7,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment7,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment7,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment7,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment7,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment7,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment7,comprehensive,velocity,7,visibility_near_ratio
nanjingdonglu,segment7,comprehensive,velocity,8,visibility_middle_ratio
nanjingdonglu,segment7,comprehensive,velocity,9,visibility_far_ratio
nanjingdonglu,segment7,comprehensive,velocity,10,clutter_near_degree
nanjingdonglu,segment7,comprehensive,velocity,11,clutter_middle_degree
nanjingdonglu,segment7,comprehensive,velocity,12,clutter_far_degree
nanjingdonglu,segment7,comprehensive,deviation,1,near_ratio
nanjingdonglu,segment7,comprehensive,deviation,2,middle_ratio
nanjingdonglu,segment7,comprehensive,deviation,3,far_ratio
nanjingdonglu,segment7,comprehensive,deviation,4,obstacle_near_density
nanjingdonglu,segment7,comprehensive,deviation,5,obstacle_middle_density
nanjingdonglu,segment7,comprehensive,deviation,6,obstacle_far_density
nanjingdonglu,segment7,comprehensive,deviation,7,visibility_near_ratio
nanjingdonglu,segment7,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment7,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment7,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment7,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment7,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,total,individual,velocity,1,ceiling.far
nanjingdonglu,total,individual,velocity,2,person.far
nanjingdonglu,total,individual,velocity,3,ceiling.middle
nanjingdonglu,total,individual,velocity,4,person.near
